Year,Units,Disaggregation,Region,Total,GeoCode,Value
2013,%,Total F,Hardap,,3.0,41.2
2013,%,Total M,Hardap,,3.0,32.2
2013,%,,Kavango East,,4.0,35.6
2013,%,Total F,Kavango East,,4.0,35.3
2013,%,Youth,Kavango East,,4.0,53.3
2013,%,Total M,Kavango East,,4.0,35.6
2013,%,,Kavango West,,5.0,35.6
2013,%,Total F,Kavango West,,5.0,35.3
2013,%,Total M,Kavango West,,5.0,35.6
2013,%,Youth,Kavango West,,5.0,53.3
2013,%,,Khomas,,6.0,27.7
2013,%,Total F,Khomas,,6.0,32.2
2013,%,Total M,Khomas,,6.0,23.4
2013,%,Youth,Khomas,,6.0,36.7
2013,%,,Kunene,,7.0,39.8
2013,%,Total F,Kunene,,7.0,51.8
2013,%,Youth,Kunene,,7.0,47.2
2013,%,Total M,Kunene,,7.0,27.4
2013,%,,Ohangwena,,8.0,32.7
2013,%,Total F,Ohangwena,,8.0,28.6
2013,%,Total M,Ohangwena,,8.0,40.1
2013,%,Youth,Ohangwena,,8.0,54.8
2013,%,,Omaheke,,9.0,26.1
2013,%,Total F,Omaheke,,9.0,35.2
2013,%,Youth,Omaheke,,9.0,28.6
2013,%,Total M,Omaheke,,9.0,18.4
2013,%,,Omusati,,10.0,28.8
2013,%,Total F,Omusati,,10.0,24.3
2013,%,Youth,Omusati,,10.0,57.1
2013,%,Total M,Omusati,,10.0,37.1
2013,%,,Oshana,,11.0,33.6
2013,%,Total F,Oshana,,11.0,33.9
2013,%,Total M,Oshana,,11.0,33.1
2013,%,Youth,Oshana,,11.0,47.6
2013,%,,Oshikoto,,12.0,31.5
2013,%,Total F,Oshikoto,,12.0,34.6
2013,%,Total M,Oshikoto,,12.0,27.9
2013,%,Youth,Oshikoto,,12.0,38.6
2013,%,,Otjozondjupa,,13.0,25.3
2013,%,Total F,Otjozondjupa,,13.0,36.7
2013,%,Youth,Otjozondjupa,,13.0,33.8
2013,%,Total M,Otjozondjupa,,13.0,16.5
2013,%,,Zambezi,,14.0,29.5
2013,%,Youth,Zambezi,,14.0,37.8
2013,%,Total F,Zambezi,,14.0,35.8
2013,%,Total M,Zambezi,,14.0,35.8
2014,%,,,Total,,28.1
2015,%,,,Youth unemployement,,33.8
2014,%,Total F,,,,31.7
2014,%,Total M,,,,24.3
2014,%,Urban,,,,26.2
2014,%,Rural,,,,30.2
2014,%,,!Karas,,1.0,25.0
2014,%,Total F,!Karas,,1.0,31.7
2014,%,Youth,!Karas,,1.0,24.8
2014,%,Total M,!Karas,,1.0,19.6
2014,%,,Erongo,,2.0,23.9
2014,%,Total F,Erongo,,2.0,31.9
2014,%,Youth,Erongo,,2.0,24.2
2014,%,Total M,Erongo,,2.0,18.0
2014,%,,Hardap,,3.0,29.7
2014,%,Total F,Hardap,,3.0,39.3
2014,%,Youth,Hardap,,3.0,29.6
2014,%,Total M,Hardap,,3.0,21.7
2014,%,,Kavango East,,4.0,36.3
2014,%,Total F,Kavango East,,4.0,39.2
2014,%,Youth,Kavango East,,4.0,42.5
2014,%,Total M,Kavango East,,4.0,32.4
2014,%,,Kavango West,,5.0,26.4
2014,%,Total F,Kavango West,,5.0,28.5
2014,%,Youth,Kavango West,,5.0,33.2
2014,%,Total M,Kavango West,,5.0,23.9
2014,%,,Khomas,,6.0,22.3
2014,%,Total F,Khomas,,6.0,26.0
2014,%,Total M,Khomas,,6.0,19.0
2014,%,Youth,Khomas,,6.0,28.4
2014,%,,Kunene,,7.0,32.6
2014,%,Total F,Kunene,,7.0,39.6
2014,%,Youth,Kunene,,7.0,34.3
2014,%,Total M,Kunene,,7.0,26.5
2014,%,,Ohangwena,,8.0,38.2
2014,%,Total F,Ohangwena,,8.0,32.7
2014,%,Youth,Ohangwena,,8.0,62.6
2014,%,Total M,Ohangwena,,8.0,46.2
2014,%,,Omaheke,,9.0,26.9
2014,%,Total F,Omaheke,,9.0,42.3
2014,%,Total M,Omaheke,,9.0,15.2
2014,%,Youth,Omaheke,,9.0,18.6
2014,%,,Omusati,,10.0,22.9
2014,%,Total F,Omusati,,10.0,20.5
2014,%,Total M,Omusati,,10.0,26.8
2014,%,Youth,Omusati,,10.0,44.2
2014,%,,Oshana,,11.0,32.6
2014,%,Total F,Oshana,,11.0,32.8
2014,%,Youth,Oshana,,11.0,44.6
2014,%,Total M,Oshana,,11.0,32.3
2014,%,,Oshikoto,,12.0,27.6
2014,%,Youth,Oshikoto,,12.0,29.4
2014,%,Total F,Oshikoto,,12.0,30.9
2014,%,Total M,Oshikoto,,12.0,23.8
2014,%,,Otjozondjupa,,13.0,33.2
2014,%,Total F,Otjozondjupa,,13.0,46.2
2014,%,Youth,Otjozondjupa,,13.0,27.6
2014,%,Total M,Otjozondjupa,,13.0,22.8
2014,%,,Zambezi,,14.0,31.9
2014,%,Total F,Zambezi,,14.0,37.3
2014,%,Youth,Zambezi,,14.0,39.2
2014,%,Total M,Zambezi,,14.0,26.3
2016,%,,,Total,,34.0
2016,%,,,Youth unemployement,,43.4
2016,%,Total F,,,,38.3
2016,%,Total M,,,,29.8
2016,%,Urban,,,,30.3
2016,%,Rural,,,,39.2
2016,%,,!Karas,,1.0,23.0
2016,%,Total F,!Karas,,1.0,30.5
2016,%,Total M,!Karas,,1.0,16.7
2016,%,Youth,!Karas,,1.0,30.9
2016,%,,Erongo,,2.0,29.2
2016,%,Total F,Erongo,,2.0,29.2
2016,%,Total M,Erongo,,2.0,16.2
2016,%,Youth,Erongo,,2.0,26.3
2016,%,,Hardap,,3.0,37.7
2016,%,Total F,Hardap,,3.0,47.9
2016,%,Youth,Hardap,,3.0,45.9
2016,%,Total M,Hardap,,3.0,29.6
2016,%,,Kavango East,,4.0,39.6
2016,%,Total F,Kavango East,,4.0,42.8
2016,%,Youth,Kavango East,,4.0,45.8
2016,%,Total M,Kavango East,,4.0,35.2
2016,%,,Kavango West,,5.0,36.4
2016,%,Total F,Kavango West,,5.0,40.2
2016,%,Youth,Kavango West,,5.0,52.6
2016,%,Total M,Kavango West,,5.0,31.5
2016,%,,Khomas,,6.0,28.4
2016,%,Total F,Khomas,,6.0,30.3
2016,%,Youth,Khomas,,6.0,37.5
2016,%,Total M,Khomas,,6.0,26.7
2016,%,,Kunene,,7.0,52.2
2016,%,Total F,Kunene,,7.0,62.8
2016,%,Youth,Kunene,,7.0,63.2
2016,%,Total M,Kunene,,7.0,42.9
2016,%,,Ohangwena,,8.0,45.4
2016,%,Total F,Ohangwena,,8.0,46.6
2016,%,Total M,Ohangwena,,8.0,43.9
2016,%,Youth,Ohangwena,,8.0,55.7
2016,%,,Omaheke,,9.0,26.9
2016,%,Total F,Omaheke,,9.0,39.3
2016,%,Youth,Omaheke,,9.0,32.8
2016,%,Total M,Omaheke,,9.0,17.7
2016,%,,Omusati,,10.0,40.2
2016,%,Total F,Omusati,,10.0,37.6
2016,%,Youth,Omusati,,10.0,54.5
2016,%,Total M,Omusati,,10.0,43.8
2016,%,,Oshana,,11.0,29.5
2016,%,Youth,Oshana,,11.0,41.6
2016,%,Total F,Oshana,,11.0,28.7
2016,%,Total M,Oshana,,11.0,30.4
2016,%,,Oshikoto,,12.0,39.8
2016,%,Total F,Oshikoto,,12.0,44.0
2016,%,Youth,Oshikoto,,12.0,47.6
2016,%,Total M,Oshikoto,,12.0,35.4
2016,%,,Otjozondjupa,,13.0,35.9
2016,%,Total F,Otjozondjupa,,13.0,45.0
2016,%,Total M,Otjozondjupa,,13.0,28.5
2016,%,Youth,Otjozondjupa,,13.0,44.3
2016,%,,Zambezi,,14.0,48.0
2016,%,Total F,Zambezi,,14.0,58.3
2016,%,Youth,Zambezi,,14.0,60.0
2016,%,Total M,Zambezi,,14.0,48.0
2018,,Youth,!Karas,,1.0,44.7
2018,,Youth,Erongo,,2.0,36.8
2018,,Youth,Hardap,,3.0,41.9
2018,,Youth,Kavango East,,4.0,62.5
2018,,Youth,Kavango West,,5.0,46.8
2018,,Youth,Khomas,,6.0,43.0
2018,,Youth,Kunene,,7.0,53.0
2018,,Youth,Ohangwena,,8.0,51.4
2018,,Youth,Omaheke,,9.0,46.6
2018,,Youth,Omusati,,10.0,39.7
2018,,Youth,Oshana,,11.0,47.2
2018,,Youth,Oshikoto,,12.0,50.2
2018,,Youth,Otjozondjupa,,13.0,47.4
2018,,Youth,Zambezi,,14.0,49.7
2021,%,NDP5 Target,,,,24.2
